id,Arabian Clothing,Belt,Body,Care Instructions,Chest Pad,Color,Composition,Details,Fabric,Fit Type,Hem Shaped,Length,Lining,Material,Neckline,Pattern Type,Pockets,Season,Sheer,Size Fit,Sleeve Length,Sleeve Type,Style,Type,Waist Line,img,price
457152,None,None,Lined,Machine wash or professional dry clean,None,White,"70% Cotton, 30% Nylon","Sheer, Contrast Lace, Zipper",Non-Stretch,Regular Fit,Pleated,Maxi,None,None,Stand Collar,Plain,None,Spring,None,None,Long Sleeve,None,Romantic,A Line,High Waist,http://img.ltwebstatic.com/images2_pi/2018/04/27/1524823215919116230_thumbnail_405x552.jpg,US$35.60
679330,None,None,None,Machine wash or professional dry clean,None,Red,"95% Polyester, 5% Spandex","Ruffle, Backless",Slight Stretch,Slim Fit,None,Short,None,None,Round Neck,Plain,None,Spring/Summer,None,None,None,Cloak Sleeve,"Glamorous, Sexy",None,Natural,http://img.ltwebstatic.com/images2_pi/2019/02/14/15501352541602718299_thumbnail_405x552.jpg,US$13.91
782641,Yes,None,None,Machine wash or professional dry clean,None,Coral Pink,"95% Polyester, 5% Elastane","Split, Zipper",Slight Stretch,Slim Fit,Pencil,Long,None,Polyester,Stand Collar,Plain,None,Spring/Summer,None,None,Long Sleeve,Cloak Sleeve,Glamorous,Bodycon,High Waist,http://img.ltwebstatic.com/images2_pi/2019/07/18/15634386893895699509_thumbnail_405x552.jpg,US$21.56
824683,Yes,None,None,Machine wash or professional dry clean,None,Burgundy,"95% Polyester, 5% Elastane","Ruffle, Wrap, Ruffle Hem, Asymmetrical, Split, Zipper",Slight Stretch,Slim Fit,Wrap,Long,None,Polyester,V neck,Plain,None,Spring/Fall,None,None,Half Sleeve,Cloak Sleeve,Glamorous,Fitted,High Waist,http://img.ltwebstatic.com/images2_pi/2019/08/20/15662947833359715472_thumbnail_405x552.jpg,US$20.29
923755,None,None,None,Machine wash or professional dry clean,None,Burgundy,"95% Polyester, 5% Elastane",Wrap,High Stretch,Regular Fit,Wrap,Midi,None,Velvet,Spaghetti Strap,Plain,None,Fall/Winter,No,None,Sleeveless,None,"Glamorous, Sexy",Cami,High Waist,http://img.ltwebstatic.com/images3_pi/2019/11/15/1573819832f32f9fabe922c5aca8fd1d0caca9dffa_thumbnail_405x552.jpg,US$26.67
978593,None,Yes,None,Machine wash or professional dry clean,None,Red,100% Polyester,"Contrast Collar, Belted, Button Front",Non-Stretch,Regular Fit,Straight,Long,None,Polyester,Peter Pan Collar,"Heart, All Over Print",None,Summer,No,None,Short Sleeve,Regular Sleeve,Vintage,Shirt,High Waist,http://img.ltwebstatic.com/images3_pi/2019/12/20/1576819318466093ade39a7f1a77e27deabc7e7c65_thumbnail_405x552.jpg,US$19.01
1064593,None,None,Lined,Machine wash or professional dry clean,None,White,100% Cotton,"Cut Out, Ruffle Hem, Tie Back, Eyelet Embroidery",Non-Stretch,Regular Fit,Flounce,Maxi,None,Schiffy,Halter,Plain,None,Summer,No,None,Sleeveless,None,Boho,Cami,Natural,http://img.ltwebstatic.com/images3_pi/2020/03/31/1585651015c595a474ae683695727256bc0635cfd6_thumbnail_405x552.jpg,US$31.77
1117679,None,None,None,Machine wash or professional dry clean,None,Pink,100% Polyester,"Pleated, Zipper",Slight Stretch,Regular Fit,Pleated,Long,None,Polyester,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Elegant,Cami,High Waist,http://img.ltwebstatic.com/images3_pi/2020/04/29/1588164204e3df03d6a1947c579356c3b9dd23bacb_thumbnail_405x552.jpg,US$26.67
1137249,None,None,None,Machine wash or professional dry clean,None,Green,100% Polyester,"Ruched, Frill, Ruffle Hem, Knot, Zipper",Non-Stretch,Regular Fit,Flounce,Midi,None,Polyester,Sweetheart,Ditsy Floral,None,Summer,No,None,Short Sleeve,Puff Sleeve,Boho,A Line,Natural,http://img.ltwebstatic.com/images3_pi/2020/05/28/1590630320a0fb084b84406a3b72d81ba88c778ec8_thumbnail_405x552.jpg,US$17.74
1142498,None,None,None,Machine wash or professional dry clean,None,Red,"60% Polyester, 35% Cotton, 5% Spandex","Drawstring, Pocket, Button Front",Slight Stretch,Regular Fit,Straight,Short,None,Polyester,V neck,Plain,None,Summer,No,None,Short Sleeve,Regular Sleeve,Casual,Tee,High Waist,http://img.ltwebstatic.com/images3_pi/2020/04/25/1587791853ac8de01d84dd3e21e758a533b6a96e5e_thumbnail_405x552.jpg,US$15.18
1227580,None,None,None,Machine wash or professional dry clean,None,Apricot,"95% Polyester, 5% Spandex",Split Thigh,Slight Stretch,Slim Fit,Slit,Knee Length,None,Polyester,Straps,Plain,None,Summer,No,None,Sleeveless,None,Elegant,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2020/06/29/15933937640a017b3d462dfbb954fa6d40b84c5653_thumbnail_405x552.jpg,US$7.53
