id,Arabian Clothing,Belt,Body,Care Instructions,Chest Pad,Color,Composition,Details,Fabric,Fit Type,Hem Shaped,Length,Lining,Material,Neckline,Pattern Type,Pockets,Season,Sheer,Size Fit,Sleeve Length,Sleeve Type,Style,Type,Waist Line,img,price
457152,None,None,Lined,Machine wash or professional dry clean,None,White,"70% Cotton, 30% Nylon","Sheer, Contrast Lace, Zipper",Non-Stretch,Regular Fit,Pleated,Maxi,None,None,Stand Collar,Plain,None,Spring,None,None,Long Sleeve,None,Romantic,A Line,High Waist,http://img.ltwebstatic.com/images2_pi/2018/04/27/1524823215919116230_thumbnail_405x552.jpg,US$35.60
535795,None,None,None,Machine wash or professional dry clean,None,Multicolor,100% Polyester,None,Non-Stretch,Loose,Flared,Long,None,None,Spaghetti Strap,Floral,None,Summer,None,None,Sleeveless,None,Boho,Cami,High Waist,http://img.ltwebstatic.com/images2_pi/2018/07/12/15313771492338653523_thumbnail_405x552.jpg,US$12.63
607643,None,None,None,Machine wash or professional dry clean,None,Multicolor,100% Polyester,Zipper,Non-Stretch,Regular Fit,None,Short,None,None,Deep V Neck,Plaid,None,Spring/Fall,None,None,Sleeveless,None,Preppy,None,Natural,http://img.ltwebstatic.com/images2_pi/2018/12/05/15439742243354142926_thumbnail_405x552.jpg,US$17.74
615884,None,None,None,Machine wash or professional dry clean,None,White,"95% Cotton, 5% Spandex",Rib-Knit,Slight Stretch,Slim Fit,None,Knee Length,None,None,Stand Collar,Plain,None,Summer,None,None,Sleeveless,None,Elegant,Bodycon,Natural,http://img.ltwebstatic.com/images2_pi/2018/11/02/1541143019657917703_thumbnail_405x552.jpg,US$11.36
621686,Yes,Yes,None,Machine wash or professional dry clean,None,White,"95% Polyester, 5% Spandex","Belted, Knot, Split, Zipper",Slight Stretch,Slim Fit,Pencil,Long,None,None,V neck,Plain,None,Spring/Fall,None,None,Long Sleeve,Bishop Sleeve,"Elegant, Glamorous",Fitted,Natural,http://img.ltwebstatic.com/images2_pi/2018/10/22/1540200053103252081_thumbnail_405x552.jpg,US$24.12
639066,None,None,Lined,Machine wash or professional dry clean,None,White,"95% Polyester, 5% Spandex","Sheer, Cut Out, Button, Split",Slight Stretch,Slim Fit,Pencil,Knee Length,None,Lace,Halter,Plain,None,Summer,No,None,Sleeveless,None,Romantic,Fitted,Natural,http://img.ltwebstatic.com/images2_pi/2018/11/14/15421876363555581683_thumbnail_405x552.jpg,US$35.60
645718,None,None,None,Machine wash or professional dry clean,None,Burgundy,"95% Polyester, 5% Spandex",Scallop,Slight Stretch,Loose,Straight,Short,None,None,Round Neck,Plain,None,Spring/Fall,None,None,Three Quarter Length Sleeve,None,Casual,Tunic,Natural,http://img.ltwebstatic.com/images2_pi/2018/12/12/1544599190566333929_thumbnail_405x552.jpg,US$10.08
659091,None,None,None,Machine wash or professional dry clean,None,Red,"95% Polyester, 5% Spandex","Split, Zipper",High Stretch,Loose,Slit,Maxi,None,Polyester,Off the Shoulder,Plain,None,Summer,No,None,Long Sleeve,None,"Glamorous, Sexy",None,Natural,http://img.ltwebstatic.com/images2_pi/2019/01/22/1548143785467369336_thumbnail_405x552.jpg,US$38.15
670818,None,None,None,Machine wash or professional dry clean,None,Yellow,"91% Polyester, 9% Elastane",Split,High Stretch,Slim Fit,None,Midi,None,None,Spaghetti Strap,Plain,None,Summer,None,None,Sleeveless,None,Sexy,Bodycon,Natural,http://img.ltwebstatic.com/images2_pi/2019/04/26/1556244641555133923_thumbnail_405x552.jpg,US$7.53
679330,None,None,None,Machine wash or professional dry clean,None,Red,"95% Polyester, 5% Spandex","Ruffle, Backless",Slight Stretch,Slim Fit,None,Short,None,None,Round Neck,Plain,None,Spring/Summer,None,None,None,Cloak Sleeve,"Glamorous, Sexy",None,Natural,http://img.ltwebstatic.com/images2_pi/2019/02/14/15501352541602718299_thumbnail_405x552.jpg,US$13.91
688701,None,None,None,Machine wash or professional dry clean,None,Dusty Pink,100% Polyester,"Ruffle, Knot, Zipper",Non-Stretch,Regular Fit,None,Short,None,None,Sweetheart,Ditsy Floral,None,Summer,None,None,Sleeveless,None,Boho,A Line,High Waist,http://img.ltwebstatic.com/images2_pi/2019/03/27/15536777203523725353_thumbnail_405x552.jpg,US$15.18
762625,None,None,None,Machine wash or professional dry clean,None,Burgundy,"95% Polyester, 5% Spandex",Zipper,High Stretch,Slim Fit,None,Knee Length,None,Polyester,Deep V Neck,Plain,None,Summer,No,None,Sleeveless,None,Elegant,Bodycon,Natural,http://img.ltwebstatic.com/images2_pi/2019/06/06/15598107413994764938_thumbnail_405x552.jpg,US$52.19
769367,None,None,Lined,Machine wash or professional dry clean,Yes,Champagne,100% Polyester,"Backless, Zipper",Slight Stretch,Slim Fit,Mermaid,Maxi,None,Sequins,Halter,Plain,None,All,No,None,Sleeveless,None,Glamorous,None,High Waist,http://img.ltwebstatic.com/images2_pi/2019/06/17/15607582321074115885_thumbnail_405x552.jpg,US$64.95
776280,None,Yes,None,Machine wash or professional dry clean,None,Burgundy,"95% Polyester, 5% Elastane","Scallop, Belted, Zipper",Slight Stretch,Regular Fit,Flared,Midi,None,Polyester,Round Neck,Plain,None,Spring/Fall,None,None,Three Quarter Length Sleeve,Regular Sleeve,Elegant,A Line,Natural,http://img.ltwebstatic.com/images2_pi/2019/07/01/1561968856633649962_thumbnail_405x552.jpg,US$19.01
781169,Yes,None,None,Machine wash or professional dry clean,None,White,100% Polyester,"Sheer, Contrast Lace, Zipper",Non-Stretch,Regular Fit,Flared,Maxi,None,Lace,Round Neck,Plain,None,Spring/Summer,None,None,Three Quarter Length Sleeve,Flounce Sleeve,"Modest, Elegant",A Line,High Waist,http://img.ltwebstatic.com/images2_pi/2019/07/18/15634386853833427614_thumbnail_405x552.jpg,US$29.22
782641,Yes,None,None,Machine wash or professional dry clean,None,Coral Pink,"95% Polyester, 5% Elastane","Split, Zipper",Slight Stretch,Slim Fit,Pencil,Long,None,Polyester,Stand Collar,Plain,None,Spring/Summer,None,None,Long Sleeve,Cloak Sleeve,Glamorous,Bodycon,High Waist,http://img.ltwebstatic.com/images2_pi/2019/07/18/15634386893895699509_thumbnail_405x552.jpg,US$21.56
793399,None,Yes,Unlined,Machine wash or professional dry clean,None,Navy Blue,100% Polyester,"Belted, High Low, Knot, Button Front",Non-Stretch,Regular Fit,Asymmetrical,Short,None,Polyester,Collar,Striped,None,Summer,None,None,Half Sleeve,None,Casual,Shirt,Natural,http://img.ltwebstatic.com/images2_pi/2019/07/15/15631748592596282096_thumbnail_405x552.jpg,US$17.74
794284,None,Yes,None,Machine wash or professional dry clean,None,Burgundy,"88% Polyester, 12% Cotton","Ruffle, Belted, Button Front",Non-Stretch,Regular Fit,None,Midi,None,Polyester,"Cold Shoulder, Straps",Polka Dot,None,Summer,No,None,Short Sleeve,None,Boho,None,Natural,http://img.ltwebstatic.com/images2_pi/2019/07/15/1563176124332476179_thumbnail_405x552.jpg,US$17.74
795034,None,None,None,Machine wash or professional dry clean,None,Multicolor,"95% Polyester, 5% Spandex",None,Slight Stretch,Slim Fit,Pencil,Knee Length,None,Polyester,Strapless,Leopard,None,Summer,None,None,Sleeveless,None,Glamorous,Bodycon,Natural,http://img.ltwebstatic.com/images2_pi/2019/08/19/1566205014101471263_thumbnail_405x552.jpg,US$6.25
800453,None,No,None,Machine wash or professional dry clean,None,Yellow,"95% Polyester, 5% Spandex",Split Thigh,Slight Stretch,Slim Fit,Slit,Knee Length,None,Polyester,Straps,Plain,None,Summer,None,None,Sleeveless,None,Sexy,Bodycon,High Waist,http://img.ltwebstatic.com/images2_pi/2019/08/14/15657608673157750449_thumbnail_405x552.jpg,US$10.08
804592,None,None,None,Machine wash or professional dry clean,None,Burgundy,"95% Polyester, 5% Spandex","Backless, Zipper, Exaggerated Ruffle",Slight Stretch,Slim Fit,Pencil,Short,None,Polyester,Round Neck,Plain,None,Summer,No,None,None,Cloak Sleeve,Sexy,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/09/24/1632476658b7f189b2dc53f63d41aff09ecb20bfd1_thumbnail_405x552.jpg,US$13.91
805787,None,Yes,None,Machine wash or professional dry clean,None,Navy Blue,100% Polyester,"Backless, Belted, Tie Back",Non-Stretch,Regular Fit,Flared,Short,None,Polyester,Stand Collar,Floral,None,Spring/Summer,None,None,Long Sleeve,Flounce Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images2_pi/2019/07/29/1564387613470111522_thumbnail_405x552.jpg,US$17.74
810447,None,Yes,None,Machine wash or professional dry clean,None,Burgundy,100% Polyester,"Belted, Button, Button Front",Slight Stretch,Loose,Straight,Short,None,Polyester,Collar,Plain,None,Spring/Fall,None,None,Long Sleeve,Regular Sleeve,Casual,Shirt,Natural,http://img.ltwebstatic.com/images2_pi/2019/08/08/15652520162738720168_thumbnail_405x552.jpg,US$20.29
813667,Yes,None,None,Machine wash or professional dry clean,None,White,100% Polyester,"Ruffle, Tiered Layer, Zipper",Non-Stretch,Regular Fit,Layered/Tiered,Maxi,None,Lace,Stand Collar,Plain,None,Spring/Fall,None,None,Three Quarter Length Sleeve,Flounce Sleeve,Romantic,A Line,High Waist,http://img.ltwebstatic.com/images2_pi/2019/09/12/15682751822069778170_thumbnail_405x552.jpg,US$27.94
821177,None,None,None,Machine wash or professional dry clean,None,Red,100% Polyester,"Ruffle, Asymmetrical, Criss Cross, Lace Up",Non-Stretch,Regular Fit,Wrap,Maxi,None,Polyester,Halter,Plain,None,Summer,None,None,Sleeveless,None,Sexy,Cami,Natural,http://img.ltwebstatic.com/images2_pi/2019/09/19/15688820772424895086_thumbnail_405x552.jpg,US$25.39
824683,Yes,None,None,Machine wash or professional dry clean,None,Burgundy,"95% Polyester, 5% Elastane","Ruffle, Wrap, Ruffle Hem, Asymmetrical, Split, Zipper",Slight Stretch,Slim Fit,Wrap,Long,None,Polyester,V neck,Plain,None,Spring/Fall,None,None,Half Sleeve,Cloak Sleeve,Glamorous,Fitted,High Waist,http://img.ltwebstatic.com/images2_pi/2019/08/20/15662947833359715472_thumbnail_405x552.jpg,US$20.29
831423,Yes,Yes,Lined,Machine wash or professional dry clean,None,Multicolor,"65% Polyester, 35% Cotton",Belted,Non-Stretch,Regular Fit,Flared,Maxi,None,Polyester,Stand Collar,Floral,None,Spring/Fall,None,None,Long Sleeve,Bishop Sleeve,"Modest, Elegant",A Line,High Waist,http://img.ltwebstatic.com/images2_pi/2019/08/27/15668927132104136156_thumbnail_405x552.jpg,US$24.12
